epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82035,3.26501,4.82954,1.36777,0.00563,0.70833,0.02313,0.00413,3.04968,3.95464,1.47512,0.00026672,0.00026672,0.00026672
2,6.4903,2.7512,2.6534,1.19135,0.0061,0.83333,0.02892,0.00681,2.54089,3.62271,1.16435,0.000549838,0.000549838,0.000549838
3,9.1674,2.48619,2.04465,1.08464,0.00599,0.95833,0.10809,0.03175,2.64111,3.26604,1.20039,0.000832675,0.000832675,0.000832675
4,11.7233,2.30154,1.86087,1.04994,0.00632,0.95833,0.33038,0.06658,2.58063,2.94712,1.32897,0.00111523,0.00111523,0.00111523
5,14.1815,2.36449,1.74158,1.09152,0.00552,0.875,0.14759,0.04143,2.79749,3.07373,1.27168,0.00139751,0.00139751,0.00139751
6,16.6279,2.27175,1.68518,1.03964,0.00433,0.75,0.07526,0.01792,3.04434,3.19985,1.27833,0.00166287,0.00166287,0.00166287
7,19.1363,2.22932,1.55827,1.0088,0.80133,0.91667,0.83407,0.27852,2.45457,1.59911,1.25283,0.00166205,0.00166205,0.00166205
8,21.6436,2.3769,1.54543,1.07403,0.68684,0.70833,0.70315,0.1737,2.64561,1.66364,1.31194,0.00166122,0.00166122,0.00166122
9,24.0974,2.22433,1.49748,1.03354,0.62878,0.70833,0.70345,0.17816,2.66522,1.58063,1.30336,0.0016604,0.0016604,0.0016604
10,26.6006,2.17948,1.34391,1.01339,0.7573,0.78042,0.77284,0.19151,2.48355,1.36796,1.26505,0.00165957,0.00165957,0.00165957
11,29.1645,2.16122,1.34706,1.07928,0.55281,0.66667,0.48811,0.13123,2.79816,1.36975,1.37263,0.00165875,0.00165875,0.00165875
12,31.7282,2.15934,1.30774,1.00032,0.87914,0.90953,0.87257,0.26229,2.53236,1.17561,1.34225,0.00165792,0.00165792,0.00165792
13,34.1112,2.14375,1.33682,1.09946,0.69545,0.75,0.76064,0.22453,2.63475,1.39237,1.24783,0.0016571,0.0016571,0.0016571
14,36.5867,2.07349,1.19583,0.95923,0.8602,0.83333,0.76078,0.21666,2.59429,1.40952,1.25957,0.00165627,0.00165627,0.00165627
15,39.0917,2.04379,1.12496,0.99506,0.8233,0.79167,0.70405,0.1767,2.77113,1.37935,1.33455,0.00165545,0.00165545,0.00165545
16,41.5473,2.0232,1.15491,0.9875,0.77671,0.75,0.70474,0.18717,2.59058,1.28538,1.29233,0.00165462,0.00165462,0.00165462
17,43.9552,2.02153,1.07637,0.96812,0.71773,0.70833,0.62852,0.18332,2.80614,1.34211,1.3154,0.0016538,0.0016538,0.0016538
18,46.3999,2.07588,1.06527,1.01063,0.76856,0.41667,0.53709,0.17623,2.77899,1.42962,1.27453,0.00165297,0.00165297,0.00165297
19,48.9085,1.96288,1.13887,0.94216,0.632,0.28666,0.37247,0.0888,3.11421,1.53489,1.31514,0.00165215,0.00165215,0.00165215
20,51.3588,1.95447,1.06766,0.9523,0.63407,0.58333,0.57038,0.17969,2.73276,1.17739,1.29204,0.00165132,0.00165132,0.00165132
21,53.7888,1.95811,1.00726,0.98723,0.7825,0.79167,0.76319,0.22197,2.78129,1.22757,1.34818,0.0016505,0.0016505,0.0016505
22,56.2547,1.97357,1.004,1.01717,0.46385,0.54167,0.50195,0.12931,2.94951,1.50667,1.44723,0.00164967,0.00164967,0.00164967
23,58.7687,2.00279,0.97621,0.98898,0.52886,0.60838,0.55123,0.1293,2.85262,1.494,1.35622,0.00164885,0.00164885,0.00164885
24,61.3032,1.97731,0.98956,0.97046,0.65825,0.66667,0.6356,0.16258,2.71004,1.33892,1.28838,0.00164802,0.00164802,0.00164802
25,63.8233,1.9842,0.97938,0.96426,0.64905,0.45833,0.53135,0.14518,3.01092,1.30561,1.32686,0.0016472,0.0016472,0.0016472
26,66.297,1.88444,0.9537,0.92287,0.51878,0.5,0.46999,0.1443,2.94111,1.3539,1.28496,0.00164637,0.00164637,0.00164637
27,68.8377,1.99251,0.99928,0.95672,0.66811,0.58729,0.67546,0.19673,2.49007,1.43763,1.17547,0.00164555,0.00164555,0.00164555
28,71.5027,1.97471,0.94674,0.96353,0.77211,0.79167,0.72426,0.19111,2.64982,1.62329,1.28648,0.00164472,0.00164472,0.00164472
29,73.9536,1.9577,0.95636,0.97939,0.79167,0.79166,0.72696,0.21425,2.69421,1.219,1.27152,0.0016439,0.0016439,0.0016439
30,76.4519,1.89632,0.93023,0.94391,0.55361,0.46534,0.48209,0.12707,2.89946,1.49304,1.33058,0.00164307,0.00164307,0.00164307
31,78.9443,1.91814,0.9478,0.9785,0.91964,0.95383,0.97087,0.28773,2.50693,1.17177,1.20391,0.00164225,0.00164225,0.00164225
32,81.6046,1.94014,0.94219,0.96674,0.70241,0.45833,0.56291,0.18557,2.7946,1.36255,1.27878,0.00164142,0.00164142,0.00164142
33,84.0736,1.85926,0.88994,0.94617,0.63621,0.58333,0.58146,0.18312,2.83437,1.32231,1.33781,0.00164059,0.00164059,0.00164059
34,86.5393,1.7854,0.87586,0.91181,0.64479,0.20833,0.23086,0.08147,3.44083,2.05232,1.53839,0.00163977,0.00163977,0.00163977
35,88.9571,1.83243,0.87785,0.91509,0.62238,0.41667,0.47697,0.11531,3.10434,1.64311,1.31988,0.00163894,0.00163894,0.00163894
36,91.4989,1.90779,0.92903,0.9614,0.74774,0.54167,0.66285,0.14832,3.02243,1.32617,1.39677,0.00163812,0.00163812,0.00163812
37,93.9206,1.94034,0.93886,0.94976,0.329,0.22533,0.22442,0.05536,2.85273,2.022,1.36207,0.00163729,0.00163729,0.00163729
38,96.4844,1.94078,0.92464,0.95817,0.56098,0.63924,0.56556,0.1629,2.65673,1.42108,1.31317,0.00163647,0.00163647,0.00163647
39,98.9792,1.85736,0.87366,0.96486,0.56491,0.45833,0.48425,0.15814,2.69563,1.52981,1.30826,0.00163564,0.00163564,0.00163564
40,101.565,1.7958,0.83667,1.0099,0.37745,0.29167,0.37538,0.14481,2.83251,1.71771,1.35454,0.00163482,0.00163482,0.00163482
41,104.063,1.95121,0.91509,0.96812,0.26792,0.57952,0.37217,0.14185,2.87659,1.72671,1.26077,0.00163399,0.00163399,0.00163399
42,106.556,1.91006,0.89874,0.92683,0.3735,0.74531,0.36035,0.11826,2.63378,1.76435,1.25113,0.00163317,0.00163317,0.00163317
